Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-25 00:00:00,89095.46875,89158.3828125,89053.7734375,89154.3671875,0,0.0,0.0
2026-01-25 01:00:00,89168.0859375,89186.140625,88991.484375,89032.7421875,0,0.0,0.0
2026-01-25 02:00:00,89035.7578125,89103.859375,89003.84375,89003.84375,0,0.0,0.0
2026-01-25 03:00:00,89002.734375,89038.59375,88717.078125,88839.1171875,219425792,0.0,0.0
2026-01-25 04:00:00,88840.0625,88953.1015625,88816.78125,88923.28125,354953216,0.0,0.0
2026-01-25 05:00:00,88875.8671875,88907.3046875,88741.9375,88862.65625,206692352,0.0,0.0
2026-01-25 06:00:00,88854.484375,88854.484375,88570.8671875,88718.78125,441782272,0.0,0.0
2026-01-25 07:00:00,88715.296875,88715.296875,88503.3671875,88513.375,9151488,0.0,0.0
2026-01-25 08:00:00,88521.5078125,88615.0078125,88088.53125,88188.765625,758052864,0.0,0.0
2026-01-25 09:00:00,88184.5625,88350.4609375,88126.609375,88263.265625,121177088,0.0,0.0
2026-01-25 10:00:00,88262.796875,88525.4296875,88262.0703125,88512.4140625,929459200,0.0,0.0
2026-01-25 11:00:00,88516.390625,88572.28125,88400.7734375,88436.84375,223760384,0.0,0.0
2026-01-25 12:00:00,88440.3203125,88649.5859375,88319.828125,88649.5859375,260517888,0.0,0.0
2026-01-25 13:00:00,88648.3515625,88833.125,88565.453125,88787.1328125,424740864,0.0,0.0
2026-01-25 14:00:00,88790.2109375,88799.8046875,88513.5859375,88573.75,0,0.0,0.0
2026-01-25 15:00:00,88580.6484375,88623.5390625,88274.546875,88330.328125,198039552,0.0,0.0
2026-01-25 16:00:00,88332.8515625,88332.8515625,87576.09375,87969.25,2697684992,0.0,0.0
2026-01-25 17:00:00,87963.1796875,87963.1796875,87676.1328125,87718.25,1028018176,0.0,0.0
2026-01-25 18:00:00,87744.3515625,87848.640625,86934.3046875,87338.1875,3198857216,0.0,0.0
2026-01-25 19:00:00,87296.2109375,87336.828125,86189.78125,86388.40625,3238873088,0.0,0.0
2026-01-25 20:00:00,86402.265625,86552.375,86166.2734375,86552.375,1958035456,0.0,0.0
2026-01-25 21:00:00,86549.4609375,86884.3515625,86432.734375,86517.0625,1676402688,0.0,0.0
2026-01-25 22:00:00,86491.2890625,86545.5859375,86149.046875,86441.5546875,1653880832,0.0,0.0
2026-01-25 23:00:00,86442.28125,86677.3828125,86003.7109375,86557.3828125,2192750592,0.0,0.0
2026-01-26 00:00:00,86577.5859375,86999.71875,86433.8046875,86734.3203125,1140068352,0.0,0.0
2026-01-26 01:00:00,86759.3828125,87664.5078125,86740.9609375,87514.0234375,2153881600,0.0,0.0
2026-01-26 02:00:00,87568.5625,87847.46875,87352.5,87437.140625,1271566336,0.0,0.0
2026-01-26 03:00:00,87433.46875,87542.3515625,86984.6484375,87120.2421875,1440399360,0.0,0.0
2026-01-26 04:00:00,87137.65625,87800.7734375,87137.65625,87605.3515625,1402601472,0.0,0.0
